tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.025,0,0.0
5,0.025,0,0.0
6,0.075,0,0.0
7,0.075,0,0.0
8,0.075,0,0.0
9,0.1,0,0.0
10,0.1,0,0.0
11,0.1,0,0.0
12,0.1,0,0.0
13,0.15,0,0.0
14,0.15,0,1.0
15,0.15,0,1.0
16,0.2,0,1.0
17,0.2,0,1.0
18,0.25,0,1.0
19,0.3,0,3.0
20,0.325,0,4.0
21,0.325,0,4.0
22,0.325,0,4.0
23,0.325,0,4.0
24,0.325,0,4.0
25,0.325,0,4.0
26,0.325,1,4.0
27,0.35,1,4.0
28,0.35,1,4.0
29,0.325,1,4.0
30,0.325,1,4.0
31,0.375,1,5.0
32,0.375,1,5.0
33,0.375,1,5.0
34,0.375,1,5.0
35,0.425,1,5.0
36,0.425,1,5.0
37,0.45,1,6.0
38,0.4,1,6.0
39,0.375,1,6.0
40,0.375,1,4.0
41,0.4,1,4.0
42,0.425,1,4.0
43,0.425,1,5.0
44,0.45,1,5.0
45,0.4,1,5.0
46,0.45,2,5.0
47,0.45,2,5.0
48,0.425,2,5.0
49,0.4,2,5.0
50,0.475,0,6.0
51,0.475,0,6.0
52,0.45,0,6.0
53,0.45,0,6.0
54,0.45,0,6.0
55,0.475,0,7.0
56,0.475,0,7.0
57,0.45,0,8.0
58,0.4,1,6.0
59,0.375,2,4.0
60,0.4,3,4.0
61,0.4,3,4.0
62,0.425,2,4.0
63,0.45,2,5.0
64,0.45,2,5.0
65,0.425,2,5.0
66,0.4,2,5.0
67,0.4,2,5.0
68,0.425,0,5.0
69,0.425,0,6.0
70,0.45,1,6.0
71,0.45,1,5.0
72,0.45,1,5.0
73,0.45,1,5.0
74,0.45,1,5.0
75,0.45,2,5.0
76,0.425,2,5.0
77,0.425,2,5.0
78,0.475,2,5.0
79,0.475,2,7.0
80,0.5,2,7.0
81,0.5,3,9.0
82,0.5,3,9.0
83,0.45,5,9.0
84,0.45,4,8.0
85,0.45,5,8.0
86,0.45,5,8.0
87,0.45,5,8.0
88,0.45,5,6.0
89,0.475,4,6.0
90,0.475,4,6.0
91,0.475,6,6.0
92,0.475,6,6.0
93,0.475,6,6.0
94,0.45,8,6.0
95,0.475,7,6.0
96,0.475,6,6.0
97,0.475,6,6.0
98,0.525,4,6.0
99,0.525,5,7.0
100,0.525,6,7.0
101,0.5,6,7.0
102,0.5,8,7.0
103,0.525,8,7.0
104,0.55,7,7.0
105,0.55,7,7.0
106,0.55,7,7.0
107,0.55,7,7.0
108,0.55,7,7.0
109,0.55,7,7.0
110,0.55,7,7.0
111,0.55,7,7.0
112,0.525,7,7.0
113,0.575,7,7.0
114,0.6,6,6.0
115,0.6,6,7.0
116,0.55,7,7.0
117,0.55,7,7.0
118,0.6,6,7.0
119,0.6,7,9.0
120,0.625,7,9.0
121,0.625,7,9.0
122,0.625,7,9.0
123,0.625,7,9.0
124,0.65,7,9.0
125,0.65,7,9.0
126,0.7,7,9.0
127,0.7,7,9.0
128,0.7,7,9.0
129,0.7,8,9.0
130,0.7,9,9.0
131,0.675,10,9.0
132,0.7,10,9.0
133,0.725,10,8.0
134,0.75,9,10.0
135,0.75,9,10.0
136,0.725,9,10.0
137,0.75,9,10.0
138,0.75,9,10.0
139,0.7,9,10.0
140,0.7,9,10.0
141,0.7,8,8.0
142,0.725,8,9.0
143,0.725,8,9.0
144,0.725,8,9.0
145,0.725,8,9.0
146,0.725,8,9.0
147,0.725,8,9.0
148,0.7,8,9.0
149,0.625,8,9.0
150,0.675,7,9.0
151,0.7,6,10.0
152,0.7,7,11.0
153,0.725,6,10.0
154,0.725,6,11.0
155,0.65,8,11.0
156,0.675,7,11.0
157,0.725,5,10.0
158,0.775,5,10.0
159,0.775,5,10.0
160,0.775,5,10.0
161,0.75,5,10.0
162,0.7,5,10.0
163,0.7,6,9.0
164,0.7,6,9.0
165,0.7,6,10.0
166,0.7,7,10.0
167,0.7,7,10.0
168,0.7,7,10.0
169,0.7,7,10.0
170,0.7,7,10.0
171,0.7,7,10.0
172,0.7,7,10.0
173,0.675,9,10.0
174,0.7,9,10.0
175,0.7,8,10.0
176,0.725,7,10.0
177,0.775,7,10.0
178,0.775,7,10.0
179,0.775,7,10.0
180,0.775,7,10.0
181,0.8,8,10.0
182,0.8,8,10.0
183,0.8,8,10.0
184,0.775,8,10.0
185,0.75,8,9.0
186,0.7,10,8.0
187,0.75,9,8.0
188,0.725,9,8.0
189,0.725,9,8.0
190,0.75,9,7.0
191,0.75,9,7.0
192,0.75,13,7.0
193,0.75,12,7.0
194,0.775,13,8.0
195,0.775,14,8.0
196,0.8,15,8.0
197,0.825,14,8.0
198,0.875,14,8.0
199,0.875,15,8.0
200,0.925,14,8.0
201,0.925,14,9.0
202,0.925,15,9.0
203,0.9,15,9.0
204,0.85,15,9.0
205,0.925,12,9.0
206,0.95,12,9.0
207,0.95,13,10.0
208,0.95,13,10.0
209,0.95,13,10.0
210,0.95,13,10.0
211,0.95,13,10.0
212,0.9,15,10.0
213,0.9,14,11.0
214,0.875,14,11.0
215,0.9,13,11.0
216,0.9,11,11.0
217,0.875,12,11.0
218,0.9,11,11.0
219,0.875,12,10.0
220,0.875,12,10.0
221,0.9,13,11.0
222,0.925,14,11.0
223,0.95,13,11.0
224,0.925,13,11.0
225,0.925,13,11.0
226,0.925,13,10.0
227,0.925,13,10.0
228,0.925,12,10.0
229,0.925,12,9.0
230,0.925,12,9.0
231,0.925,12,9.0
232,0.875,12,9.0
233,0.875,12,8.0
234,0.85,12,8.0
235,0.85,12,8.0
236,0.85,12,8.0
237,0.85,12,8.0
238,0.85,12,8.0
239,0.85,12,8.0
240,0.85,13,8.0
241,0.8,13,8.0
242,0.75,13,8.0
243,0.75,13,8.0
244,0.775,12,7.0
245,0.8,12,7.0
246,0.8,12,7.0
247,0.825,12,7.0
248,0.825,12,8.0
249,0.8,12,8.0
250,0.8,12,8.0
251,0.825,11,8.0
252,0.8,11,9.0
253,0.775,11,9.0
254,0.8,10,9.0
255,0.775,10,9.0
256,0.8,10,9.0
257,0.8,10,9.0
258,0.8,10,9.0
259,0.8,10,9.0
260,0.8,10,9.0
261,0.725,10,9.0
262,0.75,10,9.0
263,0.775,8,8.0
264,0.775,8,7.0
265,0.775,8,7.0
266,0.75,8,7.0
267,0.725,8,7.0
268,0.75,7,7.0
269,0.75,7,8.0
270,0.75,7,8.0
271,0.75,7,8.0
272,0.725,7,8.0
273,0.725,7,8.0
274,0.725,7,8.0
275,0.725,7,8.0
276,0.725,7,8.0
277,0.725,7,8.0
278,0.7,7,8.0
279,0.7,7,7.0
280,0.65,7,7.0
281,0.575,7,7.0
282,0.625,6,7.0
283,0.675,4,6.0
284,0.675,4,6.0
285,0.675,4,6.0
286,0.675,4,6.0
287,0.675,4,6.0
288,0.675,4,6.0
289,0.675,4,6.0
290,0.65,4,6.0
291,0.65,4,6.0
292,0.625,4,6.0
293,0.575,4,6.0
294,0.55,4,6.0
295,0.55,4,6.0
296,0.525,4,6.0
297,0.55,3,6.0
298,0.55,3,6.0
299,0.55,3,6.0
300,0.55,3,6.0
301,0.55,3,6.0
302,0.55,3,6.0
303,0.575,3,6.0
304,0.575,3,6.0
305,0.575,3,5.0
306,0.575,3,5.0
307,0.575,3,5.0
308,0.575,3,5.0
309,0.575,3,5.0
310,0.575,3,5.0
311,0.525,3,5.0
312,0.575,3,6.0
313,0.6,3,6.0
314,0.6,3,6.0
315,0.575,3,6.0
316,0.625,3,6.0
317,0.625,3,7.0
318,0.55,3,7.0
319,0.55,3,7.0
320,0.55,2,6.0
321,0.55,2,6.0
322,0.55,2,6.0
323,0.55,2,6.0
324,0.575,4,6.0
325,0.575,4,6.0
326,0.575,5,6.0
327,0.575,5,7.0
328,0.575,5,7.0
329,0.575,5,6.0
330,0.625,4,6.0
331,0.625,4,6.0
332,0.55,7,6.0
333,0.575,6,6.0
334,0.55,6,6.0
335,0.55,6,6.0
336,0.55,8,6.0
337,0.55,7,6.0
338,0.575,6,5.0
339,0.6,6,6.0
340,0.6,6,6.0
341,0.525,6,6.0
342,0.525,6,6.0
343,0.625,3,6.0
344,0.6,3,6.0
345,0.6,3,7.0
346,0.6,4,7.0
347,0.6,4,7.0
348,0.575,4,7.0
349,0.6,4,7.0
350,0.6,4,6.0
351,0.625,3,7.0
352,0.625,3,7.0
353,0.625,3,7.0
354,0.6,3,8.0
355,0.6,2,7.0
356,0.625,3,7.0
357,0.675,2,7.0
358,0.675,2,7.0
359,0.625,5,7.0
360,0.625,4,7.0
361,0.625,4,7.0
362,0.575,5,7.0
363,0.55,5,7.0
364,0.55,6,7.0
365,0.6,4,6.0
366,0.6,4,6.0
367,0.575,4,6.0
368,0.575,4,6.0
369,0.525,6,5.0
370,0.55,5,5.0
371,0.575,4,4.0
372,0.55,4,5.0
373,0.55,4,4.0
374,0.6,3,5.0
375,0.575,5,5.0
376,0.625,5,5.0
377,0.6,5,6.0
378,0.575,5,5.0
379,0.6,4,5.0
