tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.025,0,0.0
5,0.025,0,0.0
6,0.075,0,0.0
7,0.075,0,0.0
8,0.075,0,0.0
9,0.1,0,0.0
10,0.1,0,0.0
11,0.1,0,0.0
12,0.1,0,0.0
13,0.15,0,0.0
14,0.15,0,1.0
15,0.15,0,1.0
16,0.2,0,1.0
17,0.2,0,1.0
18,0.2,1,1.0
19,0.3,0,3.0
20,0.325,0,4.0
21,0.325,0,4.0
22,0.325,0,4.0
23,0.325,0,4.0
24,0.325,0,4.0
25,0.325,0,4.0
26,0.325,1,4.0
27,0.35,1,4.0
28,0.35,1,4.0
29,0.35,1,4.0
30,0.35,1,4.0
31,0.4,1,4.0
32,0.4,1,5.0
33,0.4,1,5.0
34,0.4,1,5.0
35,0.45,1,5.0
36,0.45,1,6.0
37,0.475,1,7.0
38,0.475,1,7.0
39,0.425,1,7.0
40,0.425,1,7.0
41,0.425,1,6.0
42,0.45,1,6.0
43,0.45,1,6.0
44,0.475,1,6.0
45,0.475,1,6.0
46,0.525,2,6.0
47,0.525,2,8.0
48,0.475,2,8.0
49,0.475,2,8.0
50,0.475,2,6.0
51,0.475,2,6.0
52,0.45,2,6.0
53,0.45,2,6.0
54,0.45,2,5.0
55,0.475,2,6.0
56,0.475,2,6.0
57,0.475,2,7.0
58,0.525,1,8.0
59,0.5,3,8.0
60,0.525,4,8.0
61,0.55,3,8.0
62,0.55,3,8.0
63,0.5,5,8.0
64,0.525,4,8.0
65,0.525,4,7.0
66,0.525,4,7.0
67,0.525,4,7.0
68,0.475,4,7.0
69,0.475,4,7.0
70,0.525,4,6.0
71,0.525,3,7.0
72,0.5,3,7.0
73,0.525,2,8.0
74,0.525,2,8.0
75,0.5,3,8.0
76,0.475,3,8.0
77,0.475,3,7.0
78,0.5,3,7.0
79,0.525,4,9.0
80,0.575,4,8.0
81,0.575,4,9.0
82,0.575,3,9.0
83,0.575,3,8.0
84,0.575,3,8.0
85,0.575,3,8.0
86,0.575,3,8.0
87,0.625,3,8.0
88,0.625,3,8.0
89,0.625,3,8.0
90,0.625,3,8.0
91,0.65,4,8.0
92,0.6,4,8.0
93,0.6,4,8.0
94,0.55,6,6.0
95,0.575,5,6.0
96,0.6,4,7.0
97,0.6,4,8.0
98,0.575,4,8.0
99,0.55,4,8.0
100,0.575,4,8.0
101,0.575,4,7.0
102,0.575,6,7.0
103,0.6,5,8.0
104,0.575,5,8.0
105,0.575,5,8.0
106,0.6,4,8.0
107,0.625,3,8.0
108,0.625,3,8.0
109,0.625,2,7.0
110,0.65,2,8.0
111,0.65,2,8.0
112,0.65,2,8.0
113,0.65,3,8.0
114,0.65,3,8.0
115,0.65,3,8.0
116,0.65,3,8.0
117,0.675,3,8.0
118,0.625,3,8.0
119,0.625,3,8.0
120,0.65,3,8.0
121,0.65,3,7.0
122,0.65,3,7.0
123,0.65,3,7.0
124,0.65,3,7.0
125,0.65,3,7.0
126,0.7,3,7.0
127,0.725,2,7.0
128,0.7,2,7.0
129,0.75,1,8.0
130,0.725,1,8.0
131,0.75,1,7.0
132,0.725,3,7.0
133,0.75,4,7.0
134,0.75,3,8.0
135,0.7,3,8.0
136,0.675,3,7.0
137,0.775,1,7.0
138,0.75,1,8.0
139,0.75,1,8.0
140,0.75,1,8.0
141,0.75,1,8.0
142,0.75,1,8.0
143,0.75,1,8.0
144,0.75,1,8.0
145,0.7,1,8.0
146,0.675,1,6.0
147,0.675,1,6.0
148,0.675,1,5.0
149,0.675,1,5.0
150,0.675,1,5.0
151,0.7,1,8.0
152,0.725,1,8.0
153,0.725,1,8.0
154,0.725,1,8.0
155,0.75,1,8.0
156,0.75,1,9.0
157,0.75,1,9.0
158,0.775,1,9.0
159,0.775,1,9.0
160,0.75,1,9.0
161,0.75,1,9.0
162,0.75,0,8.0
163,0.75,0,9.0
164,0.775,0,9.0
165,0.75,0,9.0
166,0.75,0,9.0
167,0.675,0,8.0
168,0.675,0,6.0
169,0.675,0,6.0
170,0.625,0,6.0
171,0.625,0,6.0
172,0.625,0,5.0
173,0.65,0,5.0
174,0.675,0,6.0
175,0.675,0,7.0
176,0.65,0,7.0
177,0.65,0,9.0
178,0.65,0,9.0
179,0.65,0,9.0
180,0.625,0,9.0
181,0.675,0,10.0
182,0.65,0,10.0
183,0.65,0,10.0
184,0.65,0,10.0
185,0.65,0,10.0
186,0.65,1,10.0
187,0.625,1,10.0
188,0.625,1,10.0
189,0.575,1,10.0
190,0.6,1,11.0
191,0.6,1,11.0
192,0.65,1,11.0
193,0.65,2,12.0
194,0.625,2,11.0
195,0.625,2,12.0
196,0.6,3,12.0
197,0.65,2,12.0
198,0.725,2,13.0
199,0.775,2,13.0
200,0.775,2,13.0
201,0.775,2,13.0
202,0.775,3,12.0
203,0.725,3,12.0
204,0.725,2,12.0
205,0.7,2,12.0
206,0.75,0,12.0
207,0.775,0,12.0
208,0.775,0,13.0
209,0.775,0,13.0
210,0.775,0,13.0
211,0.775,0,13.0
212,0.75,2,13.0
213,0.725,1,13.0
214,0.7,3,13.0
215,0.725,2,11.0
216,0.7,2,11.0
217,0.725,2,11.0
218,0.7,2,10.0
219,0.7,2,10.0
220,0.7,2,9.0
221,0.75,3,11.0
222,0.775,3,11.0
223,0.775,3,11.0
224,0.775,3,11.0
225,0.775,3,11.0
226,0.75,3,11.0
227,0.75,3,11.0
228,0.75,3,11.0
229,0.75,3,11.0
230,0.75,3,11.0
231,0.75,3,11.0
232,0.75,3,11.0
233,0.725,3,11.0
234,0.725,3,11.0
235,0.725,2,11.0
236,0.75,1,11.0
237,0.7,1,10.0
238,0.725,0,9.0
239,0.725,0,8.0
240,0.65,1,8.0
241,0.65,1,6.0
242,0.65,1,6.0
243,0.6,1,6.0
244,0.65,1,6.0
245,0.625,1,7.0
246,0.625,1,7.0
247,0.7,0,7.0
248,0.7,0,7.0
249,0.7,0,6.0
250,0.7,0,6.0
251,0.7,0,6.0
252,0.675,0,6.0
253,0.65,0,6.0
254,0.65,0,5.0
255,0.6,0,4.0
256,0.55,0,4.0
257,0.55,0,1.0
258,0.55,0,1.0
259,0.5,0,1.0
260,0.5,0,1.0
261,0.425,0,1.0
262,0.45,0,1.0
263,0.45,0,3.0
264,0.425,0,3.0
265,0.425,0,3.0
266,0.4,0,3.0
267,0.35,0,3.0
268,0.35,0,2.0
269,0.35,0,0.0
270,0.35,0,0.0
271,0.35,0,0.0
272,0.35,0,0.0
273,0.35,0,0.0
274,0.35,0,0.0
275,0.35,0,0.0
276,0.275,0,0.0
277,0.275,0,0.0
278,0.275,0,0.0
279,0.25,0,0.0
280,0.25,0,0.0
281,0.25,0,0.0
282,0.25,0,0.0
283,0.25,0,0.0
284,0.25,0,0.0
285,0.25,0,0.0
286,0.25,0,0.0
287,0.2,0,0.0
288,0.2,0,0.0
289,0.2,0,0.0
290,0.15,0,0.0
291,0.15,0,0.0
292,0.15,0,0.0
293,0.15,0,0.0
294,0.15,0,0.0
295,0.15,0,0.0
296,0.1,0,0.0
297,0.1,0,0.0
298,0.1,0,0.0
299,0.1,0,0.0
300,0.1,0,0.0
301,0.075,0,0.0
302,0.075,0,0.0
303,0.1,0,0.0
304,0.1,0,0.0
305,0.1,0,0.0
306,0.1,0,0.0
307,0.1,0,0.0
308,0.075,0,0.0
309,0.075,0,0.0
310,0.075,0,0.0
311,0.075,0,0.0
312,0.1,0,1.0
313,0.175,0,1.0
314,0.175,0,1.0
315,0.175,0,1.0
316,0.25,0,1.0
317,0.25,0,4.0
318,0.25,0,4.0
319,0.25,0,4.0
320,0.25,0,4.0
321,0.225,0,4.0
322,0.225,0,4.0
323,0.225,0,3.0
324,0.325,0,3.0
325,0.275,0,3.0
326,0.325,0,3.0
327,0.325,0,3.0
328,0.375,0,4.0
329,0.375,0,4.0
330,0.4,0,4.0
331,0.4,1,4.0
332,0.425,0,4.0
333,0.425,0,4.0
334,0.4,0,4.0
335,0.4,0,4.0
336,0.4,0,4.0
337,0.425,0,5.0
338,0.425,0,5.0
339,0.45,0,5.0
340,0.45,0,5.0
341,0.45,0,5.0
342,0.45,0,5.0
343,0.45,0,5.0
344,0.45,0,5.0
345,0.45,0,5.0
346,0.45,1,5.0
347,0.45,1,5.0
348,0.45,1,5.0
349,0.475,1,5.0
350,0.45,1,5.0
351,0.45,1,5.0
352,0.45,1,5.0
353,0.475,1,5.0
354,0.475,1,6.0
355,0.475,1,6.0
356,0.475,2,6.0
357,0.525,1,6.0
358,0.525,1,6.0
359,0.55,1,6.0
360,0.525,1,6.0
361,0.525,1,6.0
362,0.525,2,6.0
363,0.525,2,6.0
364,0.5,4,6.0
365,0.525,3,6.0
366,0.5,3,6.0
367,0.5,3,6.0
368,0.4,3,6.0
369,0.425,3,6.0
370,0.45,2,7.0
371,0.45,2,7.0
372,0.4,2,7.0
373,0.4,2,7.0
374,0.45,1,5.0
375,0.475,1,5.0
376,0.45,2,6.0
377,0.45,2,7.0
378,0.375,2,5.0
379,0.375,2,5.0
