tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,0.0,0,0.0
14,0.0,0,0.0
15,0.025,0,0.0
16,0.025,0,0.0
17,0.025,0,0.0
18,0.025,0,0.0
19,0.025,0,0.0
20,0.025,2,0.0
21,0.15,2,0.0
22,0.15,2,0.0
23,0.15,2,0.0
24,0.2,0,1.0
25,0.2,0,1.0
26,0.2,0,1.0
27,0.2,1,1.0
28,0.225,0,1.0
29,0.2,0,1.0
30,0.2,0,1.0
31,0.15,0,1.0
32,0.15,0,1.0
33,0.15,0,1.0
34,0.15,0,1.0
35,0.125,0,1.0
36,0.125,0,1.0
37,0.1,0,1.0
38,0.1,0,1.0
39,0.1,0,1.0
40,0.1,0,1.0
41,0.1,0,1.0
42,0.1,0,1.0
43,0.125,0,1.0
44,0.125,0,1.0
45,0.125,0,1.0
46,0.2,0,1.0
47,0.2,0,1.0
48,0.2,0,1.0
49,0.2,0,1.0
50,0.2,0,1.0
51,0.25,0,1.0
52,0.25,0,3.0
53,0.25,0,3.0
54,0.375,0,3.0
55,0.375,0,3.0
56,0.375,0,4.0
57,0.375,0,4.0
58,0.375,0,4.0
59,0.35,0,4.0
60,0.35,0,6.0
61,0.35,0,6.0
62,0.35,0,6.0
63,0.4,0,6.0
64,0.4,0,6.0
65,0.4,0,6.0
66,0.45,0,6.0
67,0.45,0,6.0
68,0.45,0,8.0
69,0.45,0,8.0
70,0.45,0,8.0
71,0.425,0,8.0
72,0.425,0,8.0
73,0.425,0,8.0
74,0.425,0,8.0
75,0.425,0,8.0
76,0.425,0,8.0
77,0.4,0,8.0
78,0.4,0,8.0
79,0.4,0,8.0
80,0.4,0,7.0
81,0.4,0,7.0
82,0.4,0,7.0
83,0.4,0,7.0
84,0.4,0,7.0
85,0.4,0,7.0
86,0.4,0,7.0
87,0.4,0,7.0
88,0.475,0,6.0
89,0.475,0,6.0
90,0.475,0,6.0
91,0.475,0,6.0
92,0.475,0,6.0
93,0.475,0,6.0
94,0.475,0,6.0
95,0.475,0,6.0
96,0.475,1,6.0
97,0.525,1,6.0
98,0.525,1,6.0
99,0.525,1,6.0
100,0.525,0,6.0
101,0.525,0,6.0
102,0.525,0,6.0
103,0.55,0,6.0
104,0.55,0,6.0
105,0.55,0,6.0
106,0.55,0,6.0
107,0.55,0,6.0
108,0.55,0,6.0
109,0.525,0,6.0
110,0.525,0,6.0
111,0.525,0,6.0
112,0.525,0,6.0
113,0.525,0,6.0
114,0.525,0,6.0
115,0.525,0,6.0
116,0.475,0,6.0
117,0.475,0,6.0
118,0.5,0,6.0
119,0.5,0,6.0
120,0.5,0,6.0
121,0.525,0,6.0
122,0.525,0,6.0
123,0.525,0,6.0
124,0.525,0,8.0
125,0.525,0,8.0
126,0.525,0,8.0
127,0.525,0,8.0
128,0.55,0,8.0
129,0.55,0,8.0
130,0.55,0,8.0
131,0.55,0,8.0
132,0.55,0,8.0
133,0.55,0,8.0
134,0.55,0,8.0
135,0.55,0,8.0
136,0.55,0,8.0
137,0.55,0,8.0
138,0.55,0,8.0
139,0.55,0,8.0
140,0.55,0,8.0
141,0.55,0,8.0
142,0.55,0,8.0
143,0.525,0,8.0
144,0.525,0,8.0
145,0.475,0,8.0
146,0.475,0,8.0
147,0.475,0,8.0
148,0.5,3,9.0
149,0.525,3,9.0
150,0.575,3,9.0
151,0.575,3,9.0
152,0.575,1,10.0
153,0.575,1,10.0
154,0.525,1,10.0
155,0.525,1,10.0
156,0.525,5,10.0
157,0.525,5,10.0
158,0.525,5,10.0
159,0.575,5,10.0
160,0.575,3,10.0
161,0.575,3,10.0
162,0.575,3,10.0
163,0.525,3,10.0
164,0.525,4,10.0
165,0.5,4,10.0
166,0.5,4,10.0
167,0.5,4,10.0
168,0.575,1,9.0
169,0.575,1,9.0
170,0.575,1,9.0
171,0.575,1,9.0
172,0.575,1,10.0
173,0.575,1,10.0
174,0.55,1,10.0
175,0.525,1,10.0
176,0.55,2,10.0
177,0.575,2,10.0
178,0.575,2,10.0
179,0.575,2,10.0
180,0.575,2,11.0
181,0.575,2,11.0
182,0.575,2,11.0
183,0.575,2,11.0
184,0.575,2,11.0
185,0.575,2,11.0
186,0.575,2,11.0
187,0.575,2,11.0
188,0.575,2,11.0
189,0.575,2,11.0
190,0.525,2,11.0
191,0.525,2,11.0
192,0.525,4,11.0
193,0.525,4,11.0
194,0.525,4,11.0
195,0.575,4,11.0
196,0.575,3,11.0
197,0.575,3,11.0
198,0.575,3,11.0
199,0.575,3,11.0
200,0.575,4,11.0
201,0.575,4,11.0
202,0.525,4,11.0
203,0.5,4,11.0
204,0.5,4,11.0
205,0.475,4,11.0
206,0.475,4,11.0
207,0.475,4,11.0
208,0.475,4,11.0
209,0.475,4,11.0
210,0.5,4,11.0
211,0.525,4,11.0
212,0.525,3,8.0
213,0.525,3,8.0
214,0.525,3,8.0
215,0.525,3,8.0
216,0.525,4,8.0
217,0.525,4,8.0
218,0.525,4,8.0
219,0.525,4,8.0
220,0.525,4,8.0
221,0.525,4,8.0
222,0.525,4,8.0
223,0.5,4,8.0
224,0.5,4,8.0
225,0.5,4,8.0
226,0.5,4,8.0
227,0.475,4,8.0
228,0.475,6,8.0
229,0.525,6,8.0
230,0.525,6,8.0
231,0.525,6,8.0
232,0.525,5,9.0
233,0.525,5,9.0
234,0.525,5,9.0
235,0.55,5,9.0
236,0.55,4,8.0
237,0.55,4,8.0
238,0.55,4,8.0
239,0.55,4,8.0
240,0.55,4,9.0
241,0.55,4,9.0
242,0.55,4,9.0
243,0.525,4,9.0
244,0.525,4,9.0
245,0.525,4,9.0
246,0.525,4,9.0
247,0.525,4,9.0
248,0.525,4,9.0
249,0.525,4,9.0
250,0.525,4,9.0
251,0.525,4,9.0
252,0.525,4,9.0
253,0.525,4,9.0
254,0.525,4,9.0
255,0.525,4,9.0
256,0.5,4,9.0
257,0.5,4,9.0
258,0.5,4,9.0
259,0.5,4,9.0
260,0.5,5,9.0
261,0.5,5,9.0
262,0.5,5,9.0
263,0.5,5,9.0
264,0.575,5,9.0
265,0.575,5,9.0
266,0.575,5,9.0
267,0.575,5,9.0
268,0.575,5,9.0
269,0.55,5,9.0
270,0.55,5,9.0
271,0.55,5,9.0
272,0.55,7,9.0
273,0.55,7,9.0
274,0.575,7,9.0
275,0.575,8,9.0
276,0.6,6,9.0
277,0.6,6,9.0
278,0.55,6,9.0
279,0.55,6,9.0
280,0.55,6,9.0
281,0.55,6,9.0
282,0.55,6,9.0
283,0.55,6,9.0
284,0.55,6,9.0
285,0.55,6,9.0
286,0.6,6,9.0
287,0.6,6,9.0
288,0.6,5,8.0
289,0.625,5,8.0
290,0.625,5,8.0
291,0.625,5,8.0
292,0.625,5,8.0
293,0.625,5,8.0
294,0.575,5,8.0
295,0.6,5,8.0
296,0.6,5,8.0
297,0.6,5,8.0
298,0.625,5,8.0
299,0.625,5,8.0
300,0.625,5,10.0
301,0.625,5,10.0
302,0.625,5,10.0
303,0.625,5,10.0
304,0.65,5,10.0
305,0.65,5,10.0
306,0.65,5,10.0
307,0.65,5,10.0
308,0.65,5,11.0
309,0.65,5,11.0
310,0.65,5,11.0
311,0.675,5,11.0
312,0.675,5,12.0
313,0.675,5,12.0
314,0.675,5,12.0
315,0.65,5,12.0
316,0.65,5,12.0
317,0.6,5,12.0
318,0.6,5,12.0
319,0.6,5,12.0
320,0.625,6,13.0
321,0.625,6,13.0
322,0.625,7,13.0
323,0.625,7,13.0
324,0.625,6,13.0
325,0.625,6,13.0
326,0.6,6,13.0
327,0.6,6,13.0
328,0.6,7,13.0
329,0.625,6,13.0
330,0.625,6,13.0
331,0.625,6,13.0
332,0.65,6,13.0
333,0.65,6,13.0
334,0.65,6,13.0
335,0.65,6,13.0
336,0.65,6,12.0
337,0.65,6,12.0
338,0.65,7,12.0
339,0.65,7,12.0
340,0.65,7,14.0
341,0.625,6,14.0
342,0.625,6,14.0
343,0.625,6,14.0
344,0.625,9,14.0
345,0.625,9,14.0
346,0.65,9,14.0
347,0.65,9,14.0
348,0.65,8,13.0
349,0.65,8,13.0
350,0.65,8,13.0
351,0.65,8,13.0
352,0.65,8,12.0
353,0.675,8,12.0
354,0.675,8,12.0
355,0.675,8,12.0
356,0.625,8,13.0
357,0.625,8,13.0
358,0.65,8,13.0
359,0.65,8,13.0
360,0.65,8,13.0
361,0.7,8,13.0
362,0.7,8,13.0
363,0.7,8,13.0
364,0.7,9,15.0
365,0.7,9,15.0
366,0.7,9,15.0
367,0.7,9,15.0
368,0.725,9,16.0
369,0.725,9,16.0
370,0.725,9,16.0
371,0.725,9,16.0
372,0.675,8,16.0
373,0.725,8,16.0
374,0.725,8,16.0
375,0.725,8,16.0
376,0.725,8,16.0
377,0.7,8,16.0
378,0.725,8,16.0
379,0.725,8,16.0
